Student_ID,Attendance_Percentage,Assignment_Score,Midterm_Score,Quiz_Score,Previous_GPA,Participation_Score,Internal_Score
STU136,84.03,73.42,93.33,87.5,7.06,2.55,40.46
STU137,71.43,58.56,47.34,72.38,9.23,3.19,30.07
STU138,95.65,59.39,68.75,45.63,8.82,2.48,34.8
STU139,95.34,41.61,88.9,90.77,6.26,9.11,38.83
STU140,64.67,78.53,57.66,45.36,9.15,2.97,31.85
STU141,72.42,87.24,41.86,76.33,9.28,1.61,32.78
STU142,75.64,72.49,48.11,37.52,8.83,4.07,30.83
STU143,75.78,52.47,32.54,63.49,5.44,3.17,26.24
STU144,98.42,41.11,35.11,79.13,6.73,8.23,30.4
STU145,92.23,90.03,83.41,54.74,8.48,2.31,40.73
STU146,77.31,70.59,92.73,65.6,9.57,4.36,39.16
STU147,97.36,45.9,67.07,35.04,8.18,1.46,32.13
STU148,79.1,62.56,84.83,80.36,5.22,3.21,36.56
STU149,85.04,83.05,51.7,58.38,9.09,5.28,35.28
STU150,84.79,65.37,59.68,79.02,7.85,4.35,34.72
STU151,72.36,79.47,58.99,91.21,5.32,2.12,34.25
STU152,60.8,64.85,96.51,78.18,6.4,8.89,37.91
STU153,76.83,55.11,31.43,59.79,9.63,3.92,27.58
STU154,69.62,66.14,36.03,78.05,7.46,6.22,29.7
STU155,60.78,63.75,38.96,91.92,9.9,3.04,29.24
STU156,69.18,69.74,59.23,86.89,8.87,5.34,34.15
STU157,88.88,50.05,42.65,39.21,8.41,3.08,28.6
STU158,65.77,44.83,43.01,94.9,6.21,9.14,28.86
STU159,96.79,89.03,97.18,57.47,9.19,3.36,43.82
STU160,58.09,69.19,69.88,71.4,7.87,5.37,33.27
STU161,75.72,47.96,70.06,75.96,8.31,5.72,33.27
STU162,85.75,77.33,42.13,62.63,7.23,3.75,32.58
STU163,89.7,95.41,48.22,55.15,8.02,4.92,36.36
STU164,76.54,68.95,85.62,38.82,5.56,8.67,36.53
STU165,71.88,83.89,50.37,94.09,5.06,8.79,35.19
STU166,99.8,58.41,96.13,42.39,6.41,6.03,39.43
STU167,81.47,52.77,89.25,55.18,5.89,1.22,34.7
STU168,57.56,73.35,68.49,71.34,7.56,7.44,33.95
STU169,83.05,88.63,46.24,80.56,8.94,7.3,36.48
STU170,64.58,59.83,81.25,39.85,8.1,7.83,33.71
STU171,59.18,86.8,55.79,49.89,8.99,2.29,31.93
STU172,80.98,92.43,83.29,87.29,8.2,2.92,41.31
STU173,78.27,73.12,94.95,98.16,7.97,8.66,42.23
STU174,80.93,53.38,66.05,82.16,5.82,4.72,33.44
STU175,75.13,85.14,93.15,83.21,9.71,5,41.84
STU176,65.91,72.67,50.76,52.88,5.64,5.69,30.41
STU177,62.11,59.23,52.3,91.98,6.94,6.78,31.04
STU178,66.41,89.13,48.67,78.89,8.93,5.76,34.36
STU179,97.25,60.53,35.58,74.25,8.39,7.25,32.68
STU180,63.85,95.88,58.05,50.29,5.5,9.29,34.89
STU181,76.42,45.88,33.36,82.11,6.46,7.19,27.81
STU182,96.5,42.81,33.2,79.6,8.35,8.27,30.53
STU183,86.13,45.12,34.53,77.98,9.14,5.44,29.13
STU184,76.94,56.34,83.71,74.57,6.26,4.4,35.61
STU185,94.37,76.66,85.7,49.81,9.96,7.08,40.98
STU186,98.21,79.57,69.56,45.11,8.02,3.04,37.68
STU187,98.42,52.02,93.65,73.55,8.74,8.53,40.85
STU188,93.89,41.26,30.49,79.72,8.06,9.13,29.75
STU189,91.62,95.35,99.47,91.29,7.34,8.63,46.85
STU190,76.02,59.26,62.72,73.07,6,6.43,33.08
STU191,83.9,64.55,96.72,68.73,9.04,6.18,40.31
STU192,65.53,82.33,99.01,60.07,6.99,2.39,38.68
STU193,55.91,42.52,75.59,68.76,7.09,1.86,29.32
STU194,93.91,73.23,84.69,54.34,6.87,9.77,40.47
STU195,96.72,72.67,71.79,50.49,7.65,1.9,36.85
STU196,80.46,60.03,31.4,48.19,5.5,8.02,28.06
STU197,59.8,95.4,77.86,75.02,8.87,2.36,37.64
STU198,65.91,95.4,89.82,95.49,8.16,1.98,40.95
STU199,82.33,71.17,57.98,92.11,9.91,8.58,37.11
STU200,90.46,83.56,69.99,36.43,8.19,1.16,36.41
STU201,67.98,78.17,91.15,88.19,9.78,8.14,40.83
STU202,66.17,78.18,86.55,67.42,9.92,7.13,38.66
STU203,87.34,74.09,31.86,87.92,9.58,1.51,32.13
STU204,63.83,98.6,60.99,61.46,8.08,4.83,35.75
STU205,66.2,54.24,40.2,89.83,5.5,2.65,27.61
STU206,80.34,77.24,67.26,45.14,9.56,9.16,36.72
STU207,63.35,98.64,30.62,74.6,8.4,3.32,31.5
STU208,60.94,61.28,98.15,48.81,8.17,6.05,36
STU209,55.42,61.44,64.31,38.35,6.52,6.37,29.39
STU210,97.7,63.95,40.97,99.35,5.74,3.9,33.73
STU211,74.91,53.61,99.64,86.51,9.46,1.06,37.97
STU212,63.59,44.13,48.78,68.83,7.5,7.42,27.95
STU213,98.22,59.33,57.03,81.52,8.99,9.57,36.96
STU214,73.02,57.36,34.59,87.82,9.39,2.75,28.91
STU215,69.19,89.26,73.48,96.87,5.13,9.04,39.21
STU216,89.37,72.78,85.95,83.86,5.21,6.49,40.28
STU217,87.23,51.16,30.08,51.38,6.24,4.43,27.05
STU218,87,67.22,91.07,48.38,9.97,2.91,38.58
STU219,65.31,90.83,55.83,86.53,5.3,1.79,33.99
STU220,58.88,52.56,87,72.42,6.02,6.54,33.74
STU221,62.1,84.63,72.92,88.74,7.62,9.36,37.96
STU222,66.3,69.31,89.62,76.55,7.8,5.62,37.58
STU223,71.58,98.09,66.36,64.87,5.6,9.97,38.3
STU224,69.02,48.04,96.7,78.35,8.05,6.42,36.67
STU225,55.82,74.61,48.68,57.6,9.29,2.82,29.51
STU226,66.1,58.14,41.36,76.99,7.06,7.6,29.25
STU227,71.07,46.54,93.5,82.62,5.8,4.1,35.33
STU228,79.33,50.67,72.22,61.47,6.61,4.13,32.84
STU229,97.6,40.22,32.06,86.47,9.21,5.7,30.09
STU230,67.76,43.05,92.86,36.38,9.41,7.4,33.8
STU231,55.73,71.64,35.97,49.25,7.81,2.12,26.26
STU232,55.94,55.05,36.7,39.92,9.44,4.71,24.91
STU233,73.68,72.96,50.39,65.68,6.51,9.02,33.05
STU234,67.63,45,82.47,48.81,6.55,8.39,32.62
STU235,84.48,56.77,64.38,75.08,6.7,6.54,34.38
STU236,92.11,52.96,81.54,37.56,6.82,9,36.2
STU237,62.97,72.93,84.66,92.07,8.38,3.07,37.15
STU238,68,63.05,98.22,90.47,8.1,8.98,39.91
STU239,80.78,74.67,75.51,83.86,7.08,5.35,38.06
STU240,64.63,67.83,45.49,70.83,8.01,3.38,29.77
STU241,61.43,81.06,64.04,67.53,8.99,2.33,33.62
STU242,75.16,58.35,77.07,51.49,6.52,1.74,32.89
STU243,72.44,62.23,90.9,75.79,9.73,9.71,39.12
STU244,78.87,47.76,98.89,56.24,7.57,2.95,36.1
STU245,65.87,52.97,72.23,61.68,9.49,3.06,31.91
STU246,57.67,44.02,56.34,72.08,8.48,9.68,29.31
STU247,83.45,67.52,59.19,44.41,7.93,3.2,32.75
STU248,83.8,52.03,65.23,43.49,9.26,8.95,33.49
STU249,74.18,73.86,37.25,62.78,7.42,2.72,29.77
STU250,55.03,98.13,48.88,55.89,6,6.09,32.29
STU251,68.32,85.47,67.22,62.66,7.72,1.53,34.75
STU252,86.51,45.19,70.42,56.67,6.83,1.29,31.89
STU253,87.5,67.24,32.39,85.84,8.5,3.35,31.46
STU254,74.54,90.13,54.3,96.73,6.25,1.23,35.44
STU255,71.77,64.29,77.58,70.36,6.57,6.43,35.41
STU256,99.28,80.61,76.61,74.27,9.9,6.06,41.68
STU257,65.97,86.59,39.62,74.91,7.71,8.34,32.77
STU258,71.39,88.58,39.84,56.81,8.83,5.22,32.33
STU259,91.68,63.55,34.18,76.2,5.63,9.84,32.21
STU260,65.14,84.03,77.12,53.32,9.34,6.36,36.81
STU261,62.4,77.56,87.7,80.27,8.35,2.04,37.26
STU262,72.85,69.07,37.9,94.46,8.41,3.16,31.04
STU263,86.25,95.42,41.16,52.16,7.41,3.86,34.31
STU264,98.67,53.83,34.44,68.17,5.26,5.6,30.35
STU265,96,87.19,32.75,43.9,6.35,6.16,33.13
STU266,85.66,82.75,82.58,62.72,6.65,7.26,40.05
STU267,81.63,59.46,39.48,62.28,6.6,9.22,30.63
STU268,86.18,56.82,37.99,45.64,6.65,6.65,29.18
STU269,79.74,44.18,64.06,56.5,6.45,5.84,31
STU270,56.13,84.13,61.97,62.46,9.68,4.37,33.46
STU271,64.27,83.52,80.29,79.2,5.22,1.86,36.25
STU272,63.58,60,84.39,91.09,7.8,5.55,36
STU273,65.84,58.27,50.03,36.37,7.91,4.56,27.95
STU274,94.19,60.3,99.1,37.55,9.88,2.59,39.17
STU275,59.63,94.15,87.83,59.22,6.09,8.17,38.92
STU276,75.69,92.63,99.52,75.88,5.46,6.82,42.83
STU277,88.86,85.37,64.82,80.03,8.69,9.26,39.99
STU278,71.23,94.19,39.64,83.9,7.48,5.89,34.16
STU279,91.06,57.03,56.52,60.27,7.51,4.58,33.03
STU280,97.1,56.32,79.56,74.89,9.47,9.35,39.56
STU281,64.22,81.49,54.89,65.26,5.15,2.44,31.61
STU282,92.76,62.29,88.47,41.6,5.63,4.71,37.32
STU283,82.12,41.1,39.37,52.15,9.59,1.74,26.75
STU284,71.51,45.79,59.3,72.02,6.32,2.23,29.3
STU285,95.61,61.14,74.54,47.12,8.08,4.56,36.29
STU286,99.61,86.97,71.5,85.27,5.08,3.12,40.36
STU287,77.11,80.26,36.02,86.92,9.72,4.09,32.87
STU288,84.69,59.99,63.31,40.07,5.75,6.83,32.73
STU289,82.14,70.64,37.91,44.26,7.35,8.43,30.94
STU290,84.72,54.77,35.92,75.87,5.11,3.37,28.74
STU291,58.02,44.77,39.93,60.16,7.24,4.1,24.68
STU292,71.06,79.58,42.36,78.92,8.45,4.14,32.28
STU293,82.26,75.66,89.83,61.22,5.09,6.45,39.16
STU294,82.51,48.29,70.94,78.92,8.03,7.8,34.89
STU295,94.18,51.95,40.61,84.31,8.52,4.91,31.93
STU296,82.33,58.79,38.41,67.32,9.19,6.03,30.57
STU297,91.01,67.72,89.01,41,7.96,5.55,38.62
STU298,90.83,43.71,62.64,41.47,9.03,3.34,31.38
STU299,81.55,48.27,84.48,84.57,5.55,8.92,36.75
STU300,88.62,85.23,37.03,62.88,7.32,3.07,33.03
STU301,69.23,59.37,92.58,57.68,6.62,2.17,35.04
STU302,56.75,65.59,36.21,49.23,5.71,6.69,26.29
STU303,63.6,93.2,80.15,91.48,5.43,4.07,38.57
STU304,62.76,67.63,81.55,81.45,6.04,7.61,36.02
STU305,55.35,73.74,42.67,56.25,8.71,8.79,29.72
STU306,76.62,79.69,75.71,35.77,8.19,8.06,36.75
STU307,58.23,46.87,63.64,96.05,9.59,3.79,30.83
STU308,89.15,67.01,39.48,38.92,6.1,1.65,29.33
STU309,60.04,52.01,41.24,91.38,8.66,9.06,29.19
STU310,75.79,53.67,43.72,75.13,8.85,5.68,30.13
STU311,77.88,58.98,49.05,39.69,8.78,1.28,28.96
STU312,71.2,79.85,32.59,90.13,5.1,5.53,30.93
STU313,66.87,80.07,59.95,66.87,6.23,1.85,32.72
STU314,80.55,99.45,76.06,55.09,9.97,2.76,39.85
STU315,62.16,76.28,55.98,55.39,6.6,2.55,30.76
STU316,71.02,57.01,65.74,70.46,8.16,1.16,31.72
STU317,58.67,84.99,47.97,56.23,8.84,3.94,31.16
STU318,78.04,95.27,54.03,38.83,5.07,4.84,34.19
STU319,56.58,76.5,44.58,78.38,8.52,7.47,31.24
STU320,55.14,65.2,44.4,65.49,6.2,6.04,28.04
STU321,84.88,43.09,53.87,40.03,6.69,7.86,29.72
STU322,96.47,52.01,54.83,94.54,9.15,7.43,35.66
STU323,56.04,82.07,55.8,89.75,5.61,5.9,33
STU324,88.59,41.65,88.74,88.54,8.46,3.33,36.97
STU325,59.05,84.79,74.89,75.72,7.41,3.61,35.75
STU326,90.51,79.52,52.88,70.71,7.64,4.44,35.74
STU327,78.1,44.56,61.72,64.29,8.24,7.44,31.72
STU328,97.57,42.44,67.22,70.02,5.57,2.21,33.03
STU329,95.07,60.86,70.12,72.82,8.63,2.91,36.54
STU330,76.68,67.5,52.24,51.47,7.22,8.18,32.28
STU331,63.94,64.77,74.01,70.63,6.59,3.86,33.33
STU332,97.12,45.92,96.51,86.16,7.67,3.26,39.4
STU333,84.49,60.94,52.9,54.29,8.4,8.2,32.98
STU334,99.84,80.75,51.54,82.17,8.18,2.71,37.14
STU335,74.26,98.08,32.32,90.69,6.07,9.82,34.9
STU336,73.67,46.65,65.35,96.53,7.3,7.82,33.45
STU337,93.22,74.68,88.62,92.78,8.2,9.27,43.29
STU338,94.78,72.7,35.46,94.63,8.31,5.26,34.38
STU339,99.77,66.09,89.45,55.86,5.22,6.79,39.95
STU340,81.82,75.1,66.16,47.93,8.53,8.03,36.08
STU341,91.35,46.15,61.51,77.73,5.25,4.62,32.77
STU342,93.96,58.51,44.04,86.84,5.42,9.43,33.72
STU343,88.09,55.55,50.11,64.26,7.67,2.81,31.3
STU344,73.33,79.65,81.88,85.84,7.67,4.97,38.86
STU345,66.79,77.62,51.38,60.4,7.22,7.38,32.43
STU346,67.3,82.51,60.2,56.5,5.62,3.22,32.79
STU347,81.26,81.25,59.31,61.67,7.08,1.9,34.54
STU348,89.8,90.32,56.11,49.56,8.58,3.4,36.4
STU349,71.25,48.7,52.7,67.78,5.96,1.28,28.1
STU350,93.96,47.36,53.78,83.18,7.61,3.19,32.59
STU351,81.9,56.61,74.95,38.84,5.05,6.74,33.45
STU352,89.24,64.34,34.52,68.37,7.3,7.7,31.54
STU353,90.58,77.61,83.6,81.04,8.64,3.92,40.76
STU354,57.31,69.77,74.49,84.77,9.51,4.52,34.8
STU355,59.67,56.91,30.65,45.45,8.23,8.25,25.56
STU356,56.93,97.52,96.04,60.38,7.95,3.27,39.54
STU357,95.84,99.65,87.29,86.12,7.97,9.08,46.1
STU358,56.83,43.69,91.96,71.79,5.43,3.68,32.23
STU359,83.36,48.28,75.28,43.84,6.8,7.18,33.43
STU360,60.05,72.96,95.48,42.89,9.85,6.14,37.09
STU361,72.72,87.56,30.53,64.27,7.13,1.57,30
STU362,86.69,74.09,60.43,38.97,7.53,6.69,34.67
STU363,74.43,76.97,82.79,83.03,8.05,8.88,39.73
STU364,94.25,92.52,74.45,36.11,9.44,7.9,40.65
STU365,77.01,57.87,43.16,96.18,7.62,6.52,31.68
STU366,71.41,62.92,84.5,56.01,9.9,7.48,36.61
STU367,89.23,98.82,57.02,85.43,8.86,4.12,39.58
STU368,69.64,82.47,84.32,35.04,8.87,3.12,36.41
STU369,77.45,79.67,88.2,44.62,7.82,7.86,39.02
STU370,83.18,77.79,51.26,45,5.49,9.27,33.75
STU371,75,67.78,32.2,46.72,6.18,4.74,27.74
STU372,70.64,59.76,69.42,76.82,6.7,3.87,33.2
STU373,78.14,86.4,79.57,54.44,5.86,8.87,38.91
STU374,69.64,56.41,46.29,75.65,6.8,2.13,28.71
STU375,63.6,50.64,42.08,95.28,6.67,7.4,28.87
STU376,75.98,46.42,79.4,66.03,7.56,3.12,33.18
STU377,65.5,61.86,78.99,47.01,6.41,6.32,33.3
STU378,58.77,57.87,43.97,44.3,9.84,2.33,26.43
STU379,84.33,50.43,31.06,65.79,9.73,4.64,28.39
STU380,75.87,47.26,97.69,72.63,9.72,8.15,38.14
STU381,83.45,45.89,94.54,95.16,8.67,9.61,39.68
STU382,74.44,79.79,65.02,49,6.9,5.64,34.62
STU383,87.51,66.76,51.17,70.36,7.67,7.76,34.33
STU384,57.79,52.62,78.5,36.81,6.4,3.06,29.78
STU385,73.84,94.57,58.81,97.33,7.56,7.6,38.53
STU386,83,92.84,39.07,59.58,6.13,1.99,32.85
STU387,95.8,62.45,48.68,70.69,6.34,9.48,34.57
STU388,64.12,96.34,81.04,99.24,7.98,4.45,40.28
STU389,80.18,66.12,89.92,35.13,7.26,8.06,37.36
STU390,65.73,76.68,84.42,59.45,9.82,1.12,36.17
STU391,68.45,41.56,70.88,56.03,6.53,6.02,30.32
STU392,82.54,81.24,67.35,53.61,8.79,7.39,37.3
STU393,69.02,61.64,70.99,66.45,9.28,6.45,34.24
STU394,99.55,70.69,48.2,77.91,7.04,6.68,35.84
STU395,79.68,45.5,71.74,52.17,9.51,6.24,32.95
STU396,78.6,87.97,44.72,96.65,8.42,7.85,36.43
STU397,75.38,93.69,30.59,54.73,8.54,1.1,30.87
STU398,55.68,47.4,98.89,35.47,5.35,3.47,31.7
STU399,61.01,98.28,68.65,88.55,8.49,4.82,37.96
STU400,83.35,92.55,57.66,62.14,6.2,2.3,35.87
STU401,76.76,54.26,70.35,82.63,8.39,7.01,34.91
STU402,92.04,89.81,39.02,46.65,5.75,9.17,34.65
STU403,58.31,66.59,39.78,69.3,8.33,3.34,27.96
STU404,75.35,86.51,79.13,52.81,6.07,5.86,37.73
STU405,71.25,95.57,97.09,99.9,9.57,6.74,44.49
STU406,76.75,44.73,32.5,46.39,5.82,4,24.83
STU407,67.03,98.36,90.89,72.19,5.12,8.86,41.41
STU408,85.34,52.46,38.91,75.73,9.52,6.66,30.89
STU409,95.02,58.62,56.54,43.87,7.66,3.59,32.69
STU410,95.25,56.48,86.97,66.43,5.58,2.64,37.39
STU411,91.15,84.39,70.21,77.7,7.35,1.96,38.69
STU412,84.61,86.46,94.41,75.89,8.48,3.78,42.4
STU413,58.28,73.31,73.49,94.22,8.55,1.61,34.72
STU414,82.13,50.62,55.72,42.77,7.81,6.56,30.68
STU415,70.69,47.46,55.43,94.2,6.27,1.58,29.76
STU416,76.1,44.5,67.09,81.99,9.57,1.6,32.03
STU417,85.28,99.05,64.03,55.17,8.01,2.95,38.14
STU418,57.18,83.71,41.97,86.93,6.71,6.71,31.61
STU419,59.52,68.77,57.69,89.7,7.64,4.91,32.31
STU420,99.78,66.12,89.32,46.08,8.99,9.11,40.96
STU421,93.9,63.02,62.64,71.69,9.38,1.29,35.26
STU422,70.77,85.83,68.83,82.37,9.8,1.38,36.81
STU423,65.67,60.35,87.89,53.79,5.03,1.7,33.31
STU424,91.94,75.53,71.42,70.78,8.47,5.32,38.63
STU425,63.74,81.17,75.38,66.59,5.14,6.33,35.62
STU426,92.45,98.19,86.38,72.45,5.96,8.56,44.04
STU427,59.85,93.9,78.63,72.18,5.71,4.73,37.23
STU428,97.16,76.88,99.21,50.43,8.48,6.04,42.79
STU429,78,89.91,95.37,94.03,5.24,9.67,43.72
STU430,76.38,66.96,62.89,73.56,7.16,5.2,34.12
STU431,55.16,83.48,90.59,51.44,8.11,8.06,37.53
STU432,85.89,41.06,87.15,99.47,7.79,6.3,37.44
STU433,98.13,49.77,31.31,52.75,6.03,2.07,27.85
STU434,55.68,88.67,99.09,56.32,8.39,4.64,38.98
STU435,59.7,66.3,98.9,93.66,7.87,6.86,38.95
